Database connected successfully
TD-Web Backend Server running on port 3000
Health check: http://localhost:3000/health
2025-09-21T14:02:44.614Z - GET /api/v1/todos
2025-09-21T14:03:21.521Z - GET /api/v1/todos
2025-09-21T14:03:32.582Z - GET /api/v1/todos
2025-09-21T14:03:33.163Z - GET /api/v1/todos
2025-09-21T14:03:33.164Z - GET /api/v1/todos
2025-09-21T14:03:34.267Z - GET /api/v1/todos
2025-09-21T14:03:35.949Z - GET /api/v1/todos
2025-09-21T14:03:40.785Z - GET /api/v1/todos
2025-09-21T14:04:37.906Z - GET /api/v1/todos
2025-09-21T14:04:39.885Z - GET /api/v1/todos
2025-09-21T14:04:39.914Z - GET /api/v1/todos
2025-09-21T14:04:41.019Z - GET /api/v1/todos
2025-09-21T14:04:42.846Z - GET /api/v1/todos
2025-09-21T14:04:47.389Z - GET /api/v1/todos
2025-09-21T14:05:45.015Z - DELETE /api/v1/todos/1
2025-09-21T14:05:59.244Z - GET /api/v1/todos
2025-09-21T14:06:16.697Z - GET /api/v1/todos
2025-09-21T14:06:17.299Z - GET /api/v1/todos
2025-09-21T14:06:17.302Z - GET /api/v1/todos
2025-09-21T14:06:18.286Z - GET /api/v1/todos
2025-09-21T14:06:19.707Z - GET /api/v1/todos
2025-09-21T14:06:25.003Z - GET /api/v1/todos
2025-09-21T14:12:02.730Z - GET /api/v1/todos
2025-09-21T14:12:15.735Z - GET /api/v1/todos
2025-09-21T14:12:49.120Z - POST /api/v1/todos
2025-09-21T14:12:53.798Z - PUT /api/v1/todos/2
2025-09-21T14:13:01.895Z - POST /api/v1/todos
2025-09-21T14:13:06.150Z - GET /api/v1/todos
2025-09-21T14:13:15.695Z - DELETE /api/v1/todos/2
2025-09-21T14:13:42.721Z - POST /api/v1/todos
2025-09-21T14:13:52.105Z - PUT /api/v1/todos/3
2025-09-21T14:13:53.347Z - PUT /api/v1/todos/4
2025-09-21T14:16:34.183Z - GET /api/v1/todos
2025-09-21T14:17:26.653Z - DELETE /api/v1/todos/3
2025-09-21T14:17:28.560Z - DELETE /api/v1/todos/4
2025-09-21T14:19:26.598Z - GET /api/v1/todos
2025-09-21T14:21:55.618Z - POST /api/v1/todos
2025-09-21T14:22:06.057Z - GET /api/v1/todos
2025-09-21T14:22:06.161Z - GET /api/v1/todos
2025-09-21T14:22:08.756Z - GET /api/v1/todos
2025-09-21T14:22:09.658Z - GET /api/v1/todos
2025-09-21T14:22:09.813Z - GET /api/v1/todos
2025-09-21T14:22:09.980Z - GET /api/v1/todos
2025-09-21T14:22:10.151Z - GET /api/v1/todos
2025-09-21T14:22:10.331Z - GET /api/v1/todos
2025-09-21T14:22:10.463Z - GET /api/v1/todos
2025-09-21T14:24:03.265Z - PUT /api/v1/todos/5
2025-09-21T14:35:10.663Z - GET /api/v1/todos
